"id","source_file","question_number","page","section","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","answer","answer_text","needs_review"
"otsu4-sample-11","kikenbutsu_otsu4.pdf","11","6","危険物に関する法令","法令上、危険物保安監督者を定めなければならない製造
所等に該当するものとして、次のうち正しいものはどれか。","指定数量の倍数が30の屋外貯蔵所","指定数量の倍数が30を超える危険物を容器に詰め替える一般取扱
所","指定数量の倍数が30を超える移動タンク貯蔵所","指定数量の倍数が30を超える引火点が40℃以上の第４類の危険物
のみを取り扱う販売取扱所","指定数量の倍数が30を超える引火点が40℃以上の第４類の危険物
のみを貯蔵する屋内タンク貯蔵所","2","指定数量の倍数が30を超える危険物を容器に詰め替える一般取扱
所","False"
"otsu4-sample-12","kikenbutsu_otsu4.pdf","12","7","危険物に関する法令","法令上、移動タンク貯蔵所による危険物の貯蔵、取扱い
及び移送について、次のうち誤っているものはどれか。","移動タンク貯蔵所には完成検査済証を備え付けておかなければな
らない。","危険物取扱者が乗車しなければならないのは、危険等級Ⅰの危険
物を移送する場合のみである。","危険物の移送のため乗車している危険物取扱者は免状を携帯して
いなければならない。","移動貯蔵タンクから引火点が40℃未満の危険物を他のタンクに注
入するときは、移動タンク貯蔵所の原動機を停止させなければなら
ない。","移送のため乗車している危険物取扱者は、移動タンク貯蔵所の走
行中に消防吏員から停止を命じられ、免状の提示を求められたら、
これに従わなければならない。","2","危険物取扱者が乗車しなければならないのは、危険等級Ⅰの危険
物を移送する場合のみである。","False"
"otsu4-sample-13","kikenbutsu_otsu4.pdf","13","7","危険物に関する法令","法令上、製造所等のうち政令で定める規模のものは、市
町村長等が行う保安に関する検査を受けなければならないが、こ
の検査の対象となる製造所等のみの組合せとして、次のうち正し
いものはどれか。","地下タンク貯蔵所 給油取扱所","屋外タンク貯蔵所 移送取扱所","地下タンク貯蔵所 屋外タンク貯蔵所","製造所 給油取扱所","製造所 移送取扱所","2","屋外タンク貯蔵所 移送取扱所","False"
"otsu4-sample-14","kikenbutsu_otsu4.pdf","14","8","危険物に関する法令","法令上、運搬容器の外部に表示する注意事項として、次
のうち正しいものはどれか。","第２類の危険物にあっては、「衝撃注意」","第３類の危険物にあっては、「火気・衝撃注意」","第４類の危険物にあっては、「火気厳禁」","第５類の危険物にあっては、「取扱注意」","第６類の危険物にあっては、「火気注意」","3","第４類の危険物にあっては、「火気厳禁」","False"
"otsu4-sample-15","kikenbutsu_otsu4.pdf","15","8","危険物に関する法令","法令上、顧客に自ら給油等をさせる給油取扱所において、
灯油を取り扱うために顧客が使用する顧客用固定注油設備に彩色
を施す場合の色として、次のうち正しいものはどれか。","赤色","青色","白色","黄色","緑色","2","青色","False"
"otsu4-sample-16","kikenbutsu_otsu4.pdf","16","9","基礎的な物理学及び基礎的な化学","次の組合せのうち、燃焼が起こらないものはどれか。","静電気火花 ………… ヘリウム ……………… 酸素","ライターの炎 ……… 水素 …………………… 空気","酸化熱 ……………… 天ぷらの揚げかす …… 酸素","電気火花 …………… 一酸化炭素 …………… 空気","衝撃火花 …………… 二硫化炭素 …………… 酸素","1","静電気火花 ………… ヘリウム ……………… 酸素","False"
"otsu4-sample-17","kikenbutsu_otsu4.pdf","17","9","基礎的な物理学及び基礎的な化学","燃焼について記述した次の文章の下線部分【Ａ】～【Ｃ】
のうち、誤っているもののみをすべて掲げているものはどれか。
「燃焼とは、一般に【Ａ】熱と光の発生を伴う【Ｂ】分解反応のこ
とをいう。燃焼が始まるためには、原則として可燃物、【Ｃ】酸素
供給源、点火源の３つが同時に存在することが必要である。 」","Ｂ","Ｃ","Ａ、Ｂ","Ａ、Ｃ","Ａ、Ｂ、Ｃ","1","Ｂ","False"
"otsu4-sample-18","kikenbutsu_otsu4.pdf","18","10","基礎的な物理学及び基礎的な化学","次の文の【 】内に当てはまる語句として、正しいもの
はどれか。
「一般に、可燃性液体から発生する蒸気に口火（着火源）を近づけ
たときに引火する液体の最低温度を【 】という。」","燃焼点","三重点","発火点","引火点","沸点","4","引火点","False"
"otsu4-sample-19","kikenbutsu_otsu4.pdf","19","10","基礎的な物理学及び基礎的な化学","消火設備に使用される気体の消火剤に関する説明として、
次のうち誤っているものはどれか。","ハロゲン化物消火剤は、燃焼反応を抑制して消火する効果がある。","窒素ガス消火剤は、火災室内の酸素濃度を低下させて消火する効果
がある。","二酸化炭素消火剤は、電気絶縁性に優れていることから電気火災に
適している。","不活性ガス消火剤には、二酸化炭素や窒素などがある。","二酸化炭素消火剤は、使用によって室内の二酸化炭素濃度が高くな
っても人体に悪影響を及ぼすおそれはない。","5","二酸化炭素消火剤は、使用によって室内の二酸化炭素濃度が高くな
っても人体に悪影響を及ぼすおそれはない。","False"
"otsu4-sample-20","kikenbutsu_otsu4.pdf","20","11","基礎的な物理学及び基礎的な化学","自然発火の機構について、次の文中の【 】内のＡ～Ｃ
に当てはまる語句の組合せとして、正しいものはどれか。
「自然発火が開始される機構について分類すると、セルロイドやニ
トロセルロースなどのように【Ａ】により発熱するもの、活性炭な
どの炭素粉末類のように【Ｂ】により発熱するもの、ゴム粉や石炭
などのように【Ｃ】により発熱するもの、発酵により発熱するもの、
重合反応により発熱するものなどがある。」
Ａ Ｂ Ｃ","吸着 酸化 分解","分解 酸化 吸着","酸化 吸着 分解","吸着 分解 酸化","分解 吸着 酸化","5","分解 吸着 酸化","False"
"otsu4-sample-21","kikenbutsu_otsu4.pdf","21","11","基礎的な物理学及び基礎的な化学","静電気に関する説明として、次のうち誤っているものは
どれか。","良導体に帯電体を近づけると、良導体の帯電体に近い側の表面に
は帯電体と異種の電荷が現れ、遠い側の表面には帯電体と同種の電
荷が現れる。","帯電体に分布している流れのない電気を静電気という。","物体の電荷を検出する装置には、箔検電器がある。","静電気現象が起こるのは、摩擦などによって陽子の移動が起こり、
一方が陽子を得て正に、他方が陽子を失い負に帯電するためである。","物体間で電荷のやりとりがあっても、電気量の総和は変わらない。","4","静電気現象が起こるのは、摩擦などによって陽子の移動が起こり、
一方が陽子を得て正に、他方が陽子を失い負に帯電するためである。","False"
"otsu4-sample-22","kikenbutsu_otsu4.pdf","22","12","基礎的な物理学及び基礎的な化学","水素（H2）、炭素（C）、プロパン（C3H8）の燃焼熱がそ
れぞれ286 kJ/mol、394 kJ/mol、2219 kJ/molである場合、プロ
パンの生成熱として正しいものは次のうちどれか。
なお、それぞれが完全燃焼する場合の化学反応式は、下記のと
おりである。
2H2 ＋ O2 → 2H2O
C ＋ O2 → CO2
C3H8 ＋ 5O2 → 3CO2＋4H2O","107 kJ/mol","215 kJ/mol","1539 kJ/mol","2899 kJ/mol","4545 kJ/mol","1","107 kJ/mol","False"
"otsu4-sample-23","kikenbutsu_otsu4.pdf","23","12","基礎的な物理学及び基礎的な化学","単体であるものは、次のうちどれか。","水","硫黄","二酸化炭素","灯油","塩化ナトリウム","2","硫黄","False"
"otsu4-sample-24","kikenbutsu_otsu4.pdf","24","13","基礎的な物理学及び基礎的な化学","地中に埋設された危険物の金属製配管を電気化学的な腐
食から守るために、配管に異種金属を接続する方法がある。
配管が鋼製の場合、次のＡ～Ｅに掲げる金属のうち、効果のあ
るものの組合せとして、正しいものはどれか。
Ａ 銅
Ｂ 鉛
Ｃ マグネシウム
Ｄ 亜鉛
Ｅ スズ","ＡとＢ","ＡとＥ","ＢとＣ","ＣとＤ","ＤとＥ","4","ＣとＤ","False"
"otsu4-sample-25","kikenbutsu_otsu4.pdf","25","13","基礎的な物理学及び基礎的な化学","物質の状態変化について、次のうち誤っているものはど
れか。","水には気体、液体および固体の３つの状態がある。","状態の変化には熱エネルギーの出入りが伴う。","沸点は外圧が高くなると低くなる。","固体から直接気体に状態変化することを昇華という。","固体が液体に変わることを融解といい、逆に液体が固体に変わる
ことを凝固という。","3","沸点は外圧が高くなると低くなる。","False"
"otsu4-sample-26","kikenbutsu_otsu4.pdf","26","14","危険物の性質並びにその火災予防及び消火の方法","危険物の類ごとに共通する一般的な性状について、次の
うち妥当でないものはどれか。","第１類の危険物の多くは、無色または白色の酸化性固体である。","第２類の危険物は、燃焼により有毒ガスを発生するものがあり、
金属粉は、水または酸の接触により発熱・発火のおそれがある。","第３類の危険物は、自然発火性と禁水性の両方の危険性を有して
いる物質である。","第５類の危険物は、燃焼速度が極めて大きく、加熱、衝撃、摩擦
などにより発火・爆発のおそれがある。","第６類の危険物は、不燃性であるが酸化力が強く、多くは腐食性
があり、蒸気は有毒である。","3","第３類の危険物は、自然発火性と禁水性の両方の危険性を有して
いる物質である。","False"
"otsu4-sample-27","kikenbutsu_otsu4.pdf","27","14","危険物の性質並びにその火災予防及び消火の方法","第４類の危険物の貯蔵、取扱いの注意事項として、次の
うち誤っているものはどれか。","火花や高熱を発する場所に接近させない。","かくはんや流動に伴う静電気の発生をできるだけ抑制する。","発生する蒸気は、なるべく屋外の低所に排出する。","容器からの液体や蒸気の漏れには十分注意する。","引火性のある危険物を取り扱う場合には、人体に帯電した静電気
を除去する。","3","発生する蒸気は、なるべく屋外の低所に排出する。","False"
"otsu4-sample-28","kikenbutsu_otsu4.pdf","28","15","危険物の性質並びにその火災予防及び消火の方法","第１石油類の危険物を貯蔵および取り扱う場合の火災予
防について、次のうち誤っているものはどれか。","静電気の発生を少なくするために、危険物を取り扱う場合の流動、
ろ過などは短時間に速度を上げて行う。","液体から発生する蒸気は、地上をはって離れた低いところにたま
ることがあるので、周囲の火気に気をつける。","取扱作業をする場合は、電気絶縁性のよい靴やナイロンその他の
化学繊維などの衣類は着用しない。","貯蔵および取扱いは、換気を十分に行う。","貯蔵倉庫内の電気設備は、すべて防爆構造のものを使用する。","1","静電気の発生を少なくするために、危険物を取り扱う場合の流動、
ろ過などは短時間に速度を上げて行う。","False"
"otsu4-sample-29","kikenbutsu_otsu4.pdf","29","15","危険物の性質並びにその火災予防及び消火の方法","第４類の危険物の貯蔵について、次のうち誤っているも
のはどれか。","引火を防止するため、みだりに火気を近づけないこと。","みだりに蒸気を発生させないため、容器は密栓すること。","可燃性蒸気を滞留させないため、貯蔵場所の通風や換気をよく行
うこと。","自然発火を防止するため、必ず液温を引火点以下に保つこと。","可燃性蒸気を発生させないため、液面に水を張って貯蔵する危険
物もある。","4","自然発火を防止するため、必ず液温を引火点以下に保つこと。","False"
"otsu4-sample-30","kikenbutsu_otsu4.pdf","30","16","危険物の性質並びにその火災予防及び消火の方法","第４類の危険物の火災における消火剤の使用について、
次のうち誤っているものはどれか。","重油の火災に泡消火剤を使用した。","トルエンの火災に二酸化炭素消火剤を使用した。","軽油の火災にハロゲン化物消火剤を使用した。","ベンゼンの火災にりん酸塩類等の粉末消火剤を使用した。","ガソリンの火災に棒状の水を使用した。","5","ガソリンの火災に棒状の水を使用した。","False"
"otsu4-sample-31","kikenbutsu_otsu4.pdf","31","16","危険物の性質並びにその火災予防及び消火の方法","自動車ガソリンの性状について、次のうち誤っているも
のはどれか。","引火点は、－40℃以下である。","流動により静電気が発生しやすい。","水より軽い。","燃焼範囲は、おおむね１～８vol％である。","灯油と間違わないように、淡青色に着色されている。","5","灯油と間違わないように、淡青色に着色されている。","False"
"otsu4-sample-32","kikenbutsu_otsu4.pdf","32","17","危険物の性質並びにその火災予防及び消火の方法","キシレンの性状等について、次のうち誤っているものは
どれか。","淡黄色の液体である。","水に溶けない。","引火点は35℃以下である。","沸点は水より高い。","塗料などの溶剤として使用されている。","1","淡黄色の液体である。","False"
"otsu4-sample-33","kikenbutsu_otsu4.pdf","33","17","危険物の性質並びにその火災予防及び消火の方法","グリセリンの性状について、次のうち妥当でないものは
どれか。","無色の粘稠性の液体である。","吸湿性がある。","比重は１より大きい。","特有の芳香を有している。","水、エタノールに溶ける。","4","特有の芳香を有している。","False"
"otsu4-sample-34","kikenbutsu_otsu4.pdf","34","18","危険物の性質並びにその火災予防及び消火の方法","アセトアルデヒドの性状について、次のうち誤っているも
のはどれか。","酸化されると、酢酸になる。","水やエタノールに任意の割合で溶解する。","強い還元性物質である。","熱または光により分解して、メタンと二酸化炭素を発生する。","常温（20℃）で引火の危険性がある。","4","熱または光により分解して、メタンと二酸化炭素を発生する。","False"
"otsu4-sample-35","kikenbutsu_otsu4.pdf","35","18","危険物の性質並びにその火災予防及び消火の方法","アセトンの性状について、次のうち誤っているものはど
れか。","無色無臭の液体である。","水と任意の割合で混ざり合う。","引火点は常温（20℃）より低い。","水よりも軽い。","アルコール、エーテルに溶ける。","1","無色無臭の液体である。","False"
