doc_count,sentence
114,化学」では、用語定義と制度の前提を確認し、同分野の過去問
114,根拠 基礎的な物理学及び基礎的な化学（危険物取扱者試験要項） 関連タグ 物性
110,制度 法令上、ガソリンの指定数量として、正しいものはどれか
109,実践演習 第17問 法令
98,漏えいの用語一覧 危険物乙4の消火｜なぜ第4類の火災に水は使えないのか 危険物乙4の過去問の使い方｜本番形式で測り誤答を分析する 過去問一覧 一問一答一覧 アプリで演習する
96,化学の用語一覧 危険物乙4の過去問の使い方｜本番形式で測り誤答を分析する 危険物乙4の学習計画｜30〜60時間を科目別に割り振る 過去問一覧 一問一答一覧 アプリで演習する
95,漏えい 第4類危険物の分類と代表物質の組合せとして、正しいものはどれか
94,制度 第1石油類の指定数量について、正しいものはどれか
94,実践演習 第100問 火災
93,実践演習 第202問 法令
91,化学」の用語定義と制度の前提を確認する
88,制度」の用語定義と制度の前提を確認する
88,制度 特殊引火物の指定数量として、正しいものはどれか
87,漏えい」の用語定義と制度の前提を確認する
82,実践演習 第101問 法令
82,制度 アセトンの指定数量として、正しいものはどれか
82,漏えい 危険物の類別と性状の組合せとして、正しいものはどれか
81,実践演習 第203問 法令
81,実践演習 第136問 火災
79,制度 消防法上の危険物の類別と性質の組合せとして、正しいものはどれか
79,化学の用語一覧 危険物乙4の過去問の使い方｜本番形式で測り誤答を分析する 危険物乙4の学習計画｜30〜60時間を科目別に割り振る 過去問一覧 アプリで演習する
78,実践演習 第16問 法令
78,制度 危険物施設保安員の説明として、正しいものはどれか
77,実践演習 第153問 法令
76,漏えい 重要度 B 法令
73,漏えい 発火点について、正しいものはどれか
72,制度」では、用語定義と制度の前提を確認し、同分野の過去問
72,実践演習 第138問 火災
69,化学 静電気による災害を防ぐ方法として、最も適切なものはどれか
68,実践演習 第10問 物性
67,制度 第2石油類の水溶性液体の指定数量として、正しいものはどれか
66,制度の用語一覧 危険物乙4の法令｜指定数量と倍数を計算から理解する 危険物乙4の過去問の使い方｜本番形式で測り誤答を分析する 過去問一覧 アプリで演習する
66,制度 アルコール類の指定数量として、正しいものはどれか
66,実践演習 第204問 法令
65,実践演習 第102問 法令
65,制度 保安検査と定期点検の説明として、正しいものはどれか
64,実践演習 第216問 法令
64,化学 熱の伝わり方について、正しいものはどれか
62,制度 移送取扱所と移動タンク貯蔵所の違いとして、正しいものはどれか
61,実践演習 第223問 法令
61,実践演習 第21問 物性
54,漏えい 第4類危険物の一般的な性質として、正しいものはどれか
53,化学 酸化の説明として、正しいものはどれか
53,実践演習 第11問 火災
52,化学 飽和蒸気圧について、正しいものはどれか
52,実践演習 第24問 物性
51,実践演習 第121問 物性
49,化学 引火と発火の違いとして、正しいものはどれか
48,実践演習 第271問 物性
48,保安） 関連する用語解説や過去問へ進む 目次 この記事の要点 この記事の信頼性について まず押さえる要点 試験で押さえるポイント 定義と基本理解 法令
48,保安） 消防法（危険物の製造
48,根拠 消防法（危険物の製造
48,保安）は、消防法（危険物の製造
46,免状に関する次のア〜オのうち、正しいものはいくつあるか
46,化学 発熱反応について、正しいものはどれか
46,漏えい 水溶性の第4類危険物として、適切なものはどれか
45,化学 質量保存の法則について、正しいものはどれか
45,実践演習 第123問 物性
45,実践演習 第139問 火災
45,取扱いに関する次のア〜オのうち、正しいものはいくつあるか
44,実践演習 第504問 法令
44,化学 圧力と沸点の関係について、一般に正しいものはどれか
44,実践演習 第122問 物性
44,危険物施設保安員に関する次のア〜オのうち、正しいものはいくつあるか
43,実践演習 第519問 法令
43,実践演習 第528問 法令
42,制度 灯油の指定数量として、正しいものはどれか
42,漏えい 第三石油類に該当する代表例として、適切なものはどれか
42,漏えいの用語一覧 危険物乙4の消火｜なぜ第4類の火災に水は使えないのか 危険物乙4の過去問の使い方｜本番形式で測り誤答を分析する 過去問一覧 アプリで演習する
42,2026年 第35問（火災
41,実践演習 第103問 法令
41,実践演習 第134問 物性
41,化学 酸化の説明として、適切なものはどれか
41,実践演習 第147問 火災
41,正答肢の記述と照合して確認する
40,実践演習 第125問 物性
40,漏えい ガソリンの性質として、正しいものはどれか
40,漏えい 重要度 A 法令
39,実践演習 第12問 火災
38,化学 燃焼範囲の上限界について、正しいものはどれか
38,化学 有機化合物について、正しいものはどれか
38,本人に割り当てられた試験会場は受験票の表記が正本です
37,実践演習 第272問 物性
37,実践演習 第126問 物性
37,漏えい 第三石油類の代表例として、適切なものはどれか
37,制度 検査に関する次のア〜オのうち、正しいものはいくつあるか
36,化学 還元の説明として、正しいものはどれか
36,化学 酸の一般的な性質として、正しいものはどれか
36,実践演習 第188問 火災
36,実践演習 第537問 法令
36,2026年 第31問（火災
36,性質消火の三科目を横断し、受験者が迷わない導線づくりを担当しています
36,演習運用を専門とする編集チーム
36,） 確認 公式情報確認担当（消防試験研究センター
36,消防庁の公開情報と照合し、出題傾向とサイト内リンクの整合を確認した担当者です
35,実践演習 第124問 物性
35,実践演習 第135問 物性
34,化学 熱容量について、正しいものはどれか
34,化学 温度と熱量の説明として、正しいものはどれか
34,漏えい 第四石油類に該当するものとして、適切なものはどれか
33,実践演習 第174問 物性
33,実践演習 第173問 物性
33,実践演習 第189問 火災
33,制度） 2026年 第11問（法令
33,根拠 基礎的な物理学及び基礎的な化学（危険物取扱者試験要項） 関連タグ 火災
32,漏えい 第4類危険物の分類について、正しいものはどれか
31,漏えい 第4類危険物の性質
31,実践演習 第143問 火災
31,消火の学習で、特に区別すべきものはどれか
30,制度 一般取扱所について、正しいものはどれか
30,制度 指定数量以上の危険物を貯蔵し、又は取り扱う製造所等を設置する場合について、正しいものはどれか
30,制度 完成検査前検査について、正しいものはどれか
30,漏えい） 2026年 第31問（火災
30,漏えい） 2026年 第30問（火災
30,漏えい） 2026年 第27問（火災
29,実践演習 第112問 法令
29,実践演習 第31問 法令
29,実践演習 第107問 法令
29,化学 不飽和炭化水素について、正しいものはどれか
29,実践演習 第300問 火災
29,漏えい グリセリンの分類として、正しいものはどれか
28,制度 消防法令上の製造所等に含まれる施設の組合せとして、正しいものはどれか
28,実践演習 第128問 物性
28,実践演習 第200問 火災
28,2026年 第11問（法令
26,制度 屋外貯蔵所について、正しいものはどれか
26,制度 危険物取扱者の区分について、正しいものはどれか
26,化学 燃焼の三要素から点火源を取り除くことによる効果として、正しいものはどれか
26,消火分野で誤りやすい組合せとして、特に注意すべきものはどれか
25,実践演習 第113問 法令
25,実践演習 第19問 法令
25,実践演習 第20問 法令
25,実践演習 第183問 物性
25,漏えい アルコール類の代表例として、正しいものはどれか
24,制度 ガソリン50 Lを貯蔵する場合の指定数量の倍数として、正しいものはどれか
24,制度 ガソリン100 Lと灯油500 Lを同一場所で貯蔵する場合、指定数量の倍数として正しいものはどれか
24,制度 消防法上の危険物について、正しいものはどれか
24,化学 密度の説明として、正しいものはどれか
24,実践演習 第13問 火災
24,実践演習 第350問 火災
24,制度） 2026年 第9問（法令
24,2026年 第13問（法令
23,制度 製造所等の位置、構造または設備を変更する場合について、正しいものはどれか
23,制度 仮使用について、正しいものはどれか
23,実践演習 第22問 物性
