id,question,answer,explanation,category,tags,source,note
TF-L-001,消防法上の危険物について、「消防法上の危険物とは、火災時に煙を出す物質をいう。」は正しい。,×,誤り。煙を出すかどうかは消防法上の危険物の定義ではない、消防法上の危険物は、消防法別表第一の品名欄に掲げる物品で、同表の区分に応じた性状を有するものをいう、すべての可燃物や液体可燃物が危険物になるわけではない。,法令・制度,TF-L-001;L-001;LAW-001;危険物の定義;消防法上の危険物の定義;基礎,消防法 別表第一（https://laws.e-gov.go.jp/law/323AC1000000186）,公開前確認待ち
TF-L-012,"動植物油類の指定数量について、「10,000 L」は正しい。",○,"正しい。動植物油類の指定数量は10,000 Lで、第4類の中でも指定数量が大きい分類である。",法令・制度,TF-L-012;L-049;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-013,"第4石油類の指定数量について、「10,000 L」は正しい。",×,"誤り。10,000 Lは動植物油類で、第4石油類の指定数量は6,000 Lである、潤滑油類などが代表例である。",法令・制度,TF-L-013;L-091;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-014,"特殊引火物と動植物油類の指定数量の正しい組合せについて、「特殊引火物1,000 L、動植物油類2,000 L」は正しい。",×,"誤り。どちらも誤りで、特殊引火物の指定数量は50 L、動植物油類の指定数量は10,000 Lである。",法令・制度,TF-L-014;L-131;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-015,ガソリンと灯油の指定数量の組合せについて、「ガソリン50 L、灯油400 L」は正しい。,×,"誤り。数値が違う、ガソリンは第1石油類の非水溶性液体で200 L、灯油は第2石油類の非水溶性液体で1,000 Lである。",法令・制度,TF-L-015;L-172;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-016,"アルコール類と第4石油類の指定数量の組合せについて、「アルコール類400 L、第4石油類6,000 L」は正しい。",○,"正しい。アルコール類の指定数量は400 L、第4石油類の指定数量は6,000 Lである。",法令・制度,TF-L-016;L-191;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-017,"第2石油類の非水溶性液体と水溶性液体の指定数量の組合せについて、「非水溶性1,000 L、水溶性2,000 L」は正しい。",○,"正しい。第2石油類は、非水溶性液体が1,000 L、水溶性液体が2,000 Lである。",法令・制度,TF-L-017;L-212;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-018,第1石油類の指定数量について、「非水溶性液体と水溶性液体で指定数量が異なる。」は正しい。,○,正しい。第1石油類では、非水溶性液体と水溶性液体で指定数量が異なる、ガソリンは非水溶性液体として200 L、アセトンは水溶性液体として400 Lで整理する。,法令・制度,TF-L-018;L-087;LAW-006;指定数量;水溶性・非水溶性による指定数量差;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-019,アセトンの指定数量について、「400 L」は正しい。,○,正しい。アセトンは第1石油類の水溶性液体として扱われ、指定数量は400 Lである。,法令・制度,TF-L-019;L-088;LAW-006;指定数量;水溶性・非水溶性による指定数量差;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-020,第2石油類の水溶性液体の指定数量について、「400 L」は正しい。,×,"誤り。400 Lはアルコール類などで問題になる、第2石油類の水溶性液体の指定数量は2,000 Lである、非水溶性液体は1,000 Lである。",法令・制度,TF-L-020;L-089;LAW-006;指定数量;水溶性・非水溶性による指定数量差;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-021,"第3石油類の非水溶性液体の指定数量について、「2,000 L」は正しい。",○,"正しい。第3石油類の非水溶性液体の指定数量は2,000 Lである。",法令・制度,TF-L-021;L-090;LAW-006;指定数量;水溶性・非水溶性による指定数量差;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-022,第1石油類の非水溶性液体と水溶性液体の指定数量について、「非水溶性200 L、水溶性400 L」は正しい。,○,正しい。第1石油類は、非水溶性液体が200 L、水溶性液体が400 Lである。,法令・制度,TF-L-022;L-192;LAW-006;指定数量;水溶性・非水溶性による指定数量差;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-023,"ガソリン100 Lと灯油500 Lを同一場所で貯蔵する場合、指定数量の倍数として正しいものはどれか。ただし、ガソリンの指定数量は200 L、灯油の指定数量は1,000 Lとするについて、「1.0倍」は正しい。",○,"正しい。指定数量の倍数は、貯蔵数量を指定数量で割って求める、ガソリンは100÷200＝0.5、灯油は500÷1,000＝0.5、合計1.0倍である。",法令・制度,TF-L-023;L-008;LAW-007;指定数量;指定数量の倍数計算;標準,危険物の規制に関する政令 別表第三、指定数量倍数の考え方,公開前確認待ち
TF-L-024,ガソリン50 Lを貯蔵する場合の指定数量の倍数として、正しいものはどれか。ただし、ガソリンの指定数量は200 Lとするについて、「0.25倍」は正しい。,○,正しい。指定数量の倍数は、貯蔵数量を指定数量で割って求める。,法令・制度,TF-L-024;L-050;LAW-007;指定数量;指定数量の倍数計算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-025,エタノール100 Lを貯蔵する場合の指定数量の倍数として、正しいものはどれか。ただし、エタノールの指定数量は400 Lとするについて、「2.0倍」は正しい。,×,誤り。800 Lなら2.0倍である、指定数量の倍数は数量を指定数量で割る、100÷400＝0.25倍である。,法令・制度,TF-L-025;L-092;LAW-007;指定数量;指定数量の倍数計算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-026,特殊引火物25 Lを貯蔵する場合、指定数量の倍数はどれか。ただし、特殊引火物の指定数量は50 Lとするについて、「2.0倍」は正しい。,×,誤り。100 Lなら2.0倍である、指定数量の倍数は数量÷指定数量で求める、25÷50＝0.5倍である。,法令・制度,TF-L-026;L-132;LAW-007;指定数量;指定数量の倍数計算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-027,ガソリン120 Lの指定数量倍数として正しいものはどれか。ただし、ガソリンの指定数量は200 Lとするについて、「0.4倍」は正しい。,×,誤り。計算結果ではない、120÷200＝0.6倍である。,法令・制度,TF-L-027;L-173;LAW-007;指定数量;指定数量の倍数計算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-028,アルコール類300 Lを貯蔵する場合、指定数量の倍数はどれか。ただし、アルコール類の指定数量は400 Lとするについて、「0.75倍」は正しい。,○,正しい。300÷400＝0.75倍である。,法令・制度,TF-L-028;L-193;LAW-007;指定数量;指定数量の倍数計算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-029,"動植物油類5,000 Lを貯蔵する場合、指定数量の倍数はどれか。ただし、動植物油類の指定数量は10,000 Lとするについて、「1.0倍」は正しい。",×,"誤り。10,000 Lなら1.0倍である、5,000÷10,000＝0.5倍である。",法令・制度,TF-L-029;L-213;LAW-007;指定数量;指定数量の倍数計算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-030,ガソリン100 L、エタノール200 Lを同一場所で貯蔵する場合の指定数量の倍数として、正しいものはどれか。ただし、ガソリンの指定数量は200 L、エタノールの指定数量は400 Lとするについて、「2.0倍」は正しい。,×,誤り。数量を単純に合計して判断するのではない、ガソリンは100÷200＝0.5倍、エタノールは200÷400＝0.5倍で、合計1.0倍である。,法令・制度,TF-L-030;L-051;LAW-008;指定数量;複数危険物を扱う場合の倍数合算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-031,"灯油500 L、軽油500 Lを同一場所で貯蔵する場合の指定数量の倍数として、正しいものはどれか。ただし、灯油・軽油の指定数量はいずれも1,000 Lとするについて、「1.0倍」は正しい。",○,"正しい。灯油500÷1,000＝0.5倍、軽油500÷1,000＝0.5倍、合計1.0倍である。",法令・制度,TF-L-031;L-093;LAW-008;指定数量;複数危険物を扱う場合の倍数合算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-032,ガソリン40 Lとエタノール80 Lを同一場所で貯蔵する場合、指定数量の倍数はどれか。ただし、ガソリン200 L、エタノール400 Lを指定数量とするについて、「2.0倍」は正しい。,×,誤り。計算結果ではない、ガソリン40÷200＝0.2倍、エタノール80÷400＝0.2倍、合計0.4倍である。,法令・制度,TF-L-032;L-133;LAW-008;指定数量;複数危険物を扱う場合の倍数合算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-033,"アセトン200 Lと灯油500 Lを貯蔵する場合の指定数量倍数はどれか。ただし、アセトン400 L、灯油1,000 Lを指定数量とするについて、「3.0倍」は正しい。",×,"誤り。計算結果ではない、アセトン200÷400＝0.5倍、灯油500÷1,000＝0.5倍、合計1.0倍である。",法令・制度,TF-L-033;L-174;LAW-008;指定数量;複数危険物を扱う場合の倍数合算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-034,"ガソリン100 L、灯油300 L、エタノール100 Lを同一場所で貯蔵する場合の指定数量倍数はどれか。ただし、ガソリン200 L、灯油1,000 L、エタノール400 Lを指定数量とするについて、「1.05倍」は正しい。",○,"正しい。ガソリン100÷200＝0.5倍、灯油300÷1,000＝0.3倍、エタノール100÷400＝0.25倍、合計1.05倍である。",法令・制度,TF-L-034;L-194;LAW-008;指定数量;複数危険物を扱う場合の倍数合算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-035,"ガソリン80 L、軽油400 L、潤滑油1,200 Lの指定数量倍数の合計はどれか。ただし、指定数量はガソリン200 L、軽油1,000 L、潤滑油6,000 Lとするについて、「1.0倍」は正しい。",○,"正しい。ガソリン80÷200＝0.4、軽油400÷1,000＝0.4、潤滑油1,200÷6,000＝0.2、合計1.0倍である。",法令・制度,TF-L-035;L-214;LAW-008;指定数量;複数危険物を扱う場合の倍数合算;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-036,指定数量未満の危険物について、「消防法上の製造所等の規制とは別に、市町村条例等で規制される場合がある。」は正しい。,○,正しい。指定数量未満であっても危険性がなくなるわけではなく、市町村条例等による規制や火災予防上の注意が必要となる場合がある。,法令・制度,TF-L-036;L-079;LAW-009;指定数量未満;指定数量未満の危険物の扱い;標準,消防法・市町村火災予防条例,公開前確認待ち
TF-L-037,指定数量未満の危険物について、「火気管理は不要である。」は正しい。,×,誤り。火気管理は必要である、指定数量未満でも危険性がなくなるわけではなく、条例等や火災予防上の注意が必要である。,法令・制度,TF-L-037;L-175;LAW-009;指定数量未満;指定数量未満の危険物の扱い;標準,消防法・火災予防条例,公開前確認待ち
TF-L-038,消防法令上の製造所等に含まれる施設の組合せについて、「工場・倉庫・事務所」は正しい。,×,誤り。一般的な建物用途であり、製造所等の分類ではない、危険物を製造し、貯蔵し、または取り扱う施設は、製造所、貯蔵所、取扱所に大別される。,法令・制度,TF-L-038;L-009;LAW-010;製造所等;製造所等の基本分類;基礎,消防法・危険物の規制に関する政令 製造所等の区分,公開前確認待ち
TF-L-039,製造所等の説明について、「第4類危険物だけの別名である。」は正しい。,×,誤り。第4類危険物の別名ではない、製造所等とは、製造所、貯蔵所、取扱所の総称である。,法令・制度,TF-L-039;L-084;LAW-010;製造所等;製造所等の基本分類;基礎,消防法：製造所等,公開前確認待ち
TF-L-040,製造所について、「危険物の分類表の別名である。」は正しい。,×,誤り。分類表ではない、製造所は、危険物を製造する施設であり、製造所等の一つである。,法令・制度,TF-L-040;L-080;LAW-011;製造所;製造所の定義・特徴;基礎,消防法：製造所,公開前確認待ち
TF-L-041,危険物の貯蔵所の種類について、「屋内貯蔵所」は正しい。,○,正しい。屋内貯蔵所は危険物を貯蔵する施設の一つで、給油取扱所、一般取扱所、販売取扱所、移送取扱所は取扱所に分類される。,法令・制度,TF-L-041;L-021;LAW-012;貯蔵所;貯蔵所の種類全体;基礎,危険物の規制に関する政令：貯蔵所・取扱所の区分,公開前確認待ち
TF-L-042,貯蔵所に該当するものについて、「給油取扱所」は正しい。,×,誤り。給油取扱所は取扱所である、地下タンク貯蔵所は貯蔵所の一種で、販売取扱所、給油取扱所、移送取扱所、一般取扱所はいずれも取扱所である。,法令・制度,TF-L-042;L-081;LAW-012;貯蔵所;貯蔵所の種類全体;基礎,危険物の規制に関する政令：貯蔵所,公開前確認待ち
TF-L-043,移動タンク貯蔵所の分類について、「給油取扱所」は正しい。,×,誤り。給油取扱所ではない、移動タンク貯蔵所は、名称に移動とあるが貯蔵所の一種である。,法令・制度,TF-L-043;L-195;LAW-012;貯蔵所;貯蔵所の種類全体;基礎,危険物の規制に関する政令：貯蔵所,公開前確認待ち
TF-L-044,危険物の取扱所の種類について、「地下タンク貯蔵所」は正しい。,×,誤り。地下タンク貯蔵所は貯蔵所で、給油取扱所は危険物を取り扱う取扱所の一種である、他の選択肢はいずれも貯蔵所に分類される。,法令・制度,TF-L-044;L-022;LAW-013;取扱所;取扱所の種類全体;基礎,危険物の規制に関する政令：取扱所の区分,公開前確認待ち
TF-L-045,取扱所に該当するものについて、「一般取扱所」は正しい。,○,正しい。一般取扱所は取扱所の一種である。,法令・制度,TF-L-045;L-082;LAW-013;取扱所;取扱所の種類全体;基礎,危険物の規制に関する政令：取扱所,公開前確認待ち
TF-L-046,移送取扱所の分類について、「地下タンク貯蔵所」は正しい。,×,誤り。地下タンク貯蔵所ではない、移送取扱所は取扱所の一種である。,法令・制度,TF-L-046;L-196;LAW-013;取扱所;取扱所の種類全体;基礎,危険物の規制に関する政令：取扱所,公開前確認待ち
TF-L-047,指定数量以上の危険物を貯蔵し、又は取り扱う製造所等を設置する場合について、「原則として、あらかじめ法令上の許可を受ける必要がある。」は正しい。,○,正しい。指定数量以上の危険物を貯蔵し、又は取り扱う製造所等を設置する場合、法令上の許可が必要となる。,法令・制度,TF-L-047;L-011;LAW-014;許可;製造所等の設置許可;基礎,消防法・危険物の規制に関する政令：製造所等の設置許可,公開前確認待ち
TF-L-048,製造所等の設置許可について、「指定数量以上の危険物を扱う製造所等を設置する場合に問題となる。」は正しい。,○,正しい。指定数量以上の危険物を貯蔵し、又は取り扱う製造所等を設置する場合、法令上の許可が問題となる。,法令・制度,TF-L-048;L-094;LAW-014;許可;製造所等の設置許可;基礎,消防法：設置許可,公開前確認待ち
TF-L-049,施設の設置許可と危険物取扱者免状の関係について、「施設の設置許可と取扱者の免状は別の制度である。」は正しい。,○,正しい。製造所等の設置許可は施設に関する制度であり、危険物取扱者免状は人の資格に関する制度である。,法令・制度,TF-L-049;L-134;LAW-014;許可;製造所等の設置許可;基礎,消防法：設置許可・危険物取扱者免状,公開前確認待ち
TF-L-050,指定数量以上の危険物を貯蔵する施設を設置する場合、原則として問題となる手続きについて、「設置許可」は正しい。,○,正しい。指定数量以上の危険物を扱う製造所等の設置には、設置許可が問題となる。,法令・制度,TF-L-050;L-176;LAW-014;許可;製造所等の設置許可;基礎,消防法：設置許可,公開前確認待ち
TF-L-051,製造所等の設置許可が施設側の制度である理由として、最も適切なものについて、「危険物の販売価格を決めるため。」は正しい。,×,誤り。販売価格ではない、製造所等の設置許可は、危険物を扱う施設の位置・構造・設備等が基準に適合するかを確認する施設側の制度である。,法令・制度,TF-L-051;L-197;LAW-014;許可;製造所等の設置許可;標準,消防法：設置許可,公開前確認待ち
TF-L-052,製造所等の設置許可について、施設側の論点について、「販売価格の高低だけが問題となる。」は正しい。,×,誤り。販売価格ではない、設置許可では、施設の位置・構造・設備などが法令基準に適合するかが問題となる。,法令・制度,TF-L-052;L-215;LAW-014;許可;製造所等の設置許可;基礎,消防法：設置許可,公開前確認待ち
TF-L-053,製造所等の位置、構造または設備を変更する場合について、「法令上、変更内容によってはあらかじめ変更許可を受ける必要がある。」は正しい。,○,正しい。製造所等の位置、構造または設備を変更する場合、法令上、変更許可が必要となる場合がある、取扱者の立会いや標識だけで手続きが不要になるわけではない。,法令・制度,TF-L-053;L-012;LAW-015;許可;製造所等の変更許可;標準,消防法：製造所等の変更許可,公開前確認待ち
TF-L-054,製造所等の変更許可について、「位置、構造または設備を変更する場合に必要となる場合がある。」は正しい。,○,正しい。製造所等の位置、構造または設備を変更する場合、変更許可が必要となる場合がある。,法令・制度,TF-L-054;L-095;LAW-015;許可;製造所等の変更許可;標準,消防法：変更許可,公開前確認待ち
TF-L-055,製造所等の変更で、変更許可の対象として最も関係が深いものについて、「受験票の印刷位置の変更」は正しい。,×,誤り。受験票とは関係ない、製造所等の位置、構造または設備を変更する場合、変更許可が必要となる場合がある。,法令・制度,TF-L-055;L-135;LAW-015;許可;製造所等の変更許可;標準,消防法：変更許可,公開前確認待ち
TF-L-056,製造所等の位置を変更する場合について、「免状の写真変更だけで足りる。」は正しい。,×,誤り。免状写真とは別である、製造所等の位置、構造または設備を変更する場合、変更許可が必要となる場合がある。,法令・制度,TF-L-056;L-177;LAW-015;許可;製造所等の変更許可;標準,消防法：変更許可,公開前確認待ち
TF-L-057,製造所等の完成検査について、「設置または変更の工事後、法令上の完成検査を受ける必要がある場合がある。」は正しい。,○,正しい。製造所等の設置または変更工事後には、法令上の完成検査が必要となる場合がある。,法令・制度,TF-L-057;L-013;LAW-016;検査;完成検査;基礎,消防法：完成検査,公開前確認待ち
TF-L-058,完成検査の説明について、「危険物取扱者試験の合格発表である。」は正しい。,×,誤り。試験合格発表ではない、完成検査は、製造所等の設置または変更工事後、施設が法令基準に適合するかを確認する検査である。,法令・制度,TF-L-058;L-096;LAW-016;検査;完成検査;基礎,消防法：完成検査,公開前確認待ち
TF-L-059,完成検査を行う主な趣旨として、適切なものについて、「危険物の味を確認するため。」は正しい。,×,誤り。味を確認してはならない、完成検査は、製造所等の設置または変更工事後に、施設が法令基準に適合しているか確認するための検査である。,法令・制度,TF-L-059;L-136;LAW-016;検査;完成検査;標準,消防法：完成検査,公開前確認待ち
TF-L-060,完成検査を受ける前に製造所等を使用することについて、正しい理解について、「完成検査は免状の書換えである。」は正しい。,×,誤り。免状書換えではない、製造所等は、完成検査により基準適合を確認した後に使用するのが原則である。,法令・制度,TF-L-060;L-178;LAW-016;検査;完成検査;標準,消防法：完成検査,公開前確認待ち
TF-L-061,完成検査前検査について、「施設の掲示板の色だけを確認する検査である。」は正しい。,×,誤り。掲示板の色だけを確認するものではない、完成検査前検査は、一定のタンクなどについて完成検査の前に行われる検査である、試験採点や危険物の味の確認ではない。,法令・制度,TF-L-061;L-052;LAW-017;検査;完成検査前検査;標準,消防法：完成検査前検査,公開前確認待ち
TF-L-062,完成検査前検査の対象として関係が深いものについて、「一定の液体危険物タンク」は正しい。,○,正しい。完成検査前検査は、一定の液体危険物タンクなどについて問題となる検査である。,法令・制度,TF-L-062;L-137;LAW-017;検査;完成検査前検査;標準,消防法：完成検査前検査,公開前確認待ち
TF-L-063,完成検査前検査と完成検査の関係について、「完成検査前検査を受ければ完成検査は常に不要である。」は正しい。,×,誤り。常に不要とは限らない、一定の液体危険物タンクなどでは、完成検査の前に完成検査前検査が問題となる場合がある。,法令・制度,TF-L-063;L-198;LAW-017;検査;完成検査前検査;標準,消防法：完成検査前検査,公開前確認待ち
TF-L-064,指定数量以上の危険物を一時的に貯蔵し、または取り扱う場合について、「法令上、仮貯蔵または仮取扱いとして承認を受ける必要がある場合がある。」は正しい。,○,正しい。指定数量以上の危険物を一時的に貯蔵または取り扱う場合、仮貯蔵・仮取扱いとして承認が必要となる場合がある、一時的であれば無制限に可能というわけではない。,法令・制度,TF-L-064;L-014;LAW-018;仮貯蔵・仮取扱い;仮貯蔵・仮取扱い;標準,消防法：仮貯蔵・仮取扱い,公開前確認待ち
TF-L-065,仮使用について、「変更工事中などでも、一定の条件のもとで一部を使用するため承認が必要となる場合がある。」は正しい。,○,正しい。仮使用は、変更工事中などに一定の条件のもとで施設の一部を使用するための承認に関する論点である。,法令・制度,TF-L-065;L-053;LAW-018;仮使用;仮使用の承認;標準,消防法：仮使用,公開前確認待ち
TF-L-066,仮貯蔵・仮取扱いに関する説明について、「一時的な場合でも、指定数量以上なら承認が必要となる場合がある。」は正しい。,○,正しい。指定数量以上の危険物を一時的に貯蔵または取り扱う場合、仮貯蔵・仮取扱いとして承認が必要となる場合がある。,法令・制度,TF-L-066;L-111;LAW-018;仮貯蔵・仮取扱い;仮貯蔵・仮取扱い;標準,消防法：仮貯蔵・仮取扱い,公開前確認待ち
TF-L-067,仮使用と仮貯蔵・仮取扱いの説明について、「完全に同じ制度であり、名称以外に違いはない。」は正しい。,×,誤り。完全に同じ制度ではない、仮使用と仮貯蔵・仮取扱いは、いずれも例外的な場面で問題となるが、制度上は区別される。,法令・制度,TF-L-067;L-112;LAW-018;仮使用;仮使用の承認;標準,消防法：仮使用・仮貯蔵・仮取扱い,公開前確認待ち
TF-L-068,変更工事中の製造所等の一部を使用する場合に関係する制度について、「免状の再交付」は正しい。,×,誤り。免状再交付ではない、変更工事中の製造所等の一部を使用する場合、仮使用の承認が問題となる。,法令・制度,TF-L-068;L-179;LAW-018;仮使用;仮使用の承認;標準,消防法：仮使用,公開前確認待ち
TF-L-069,「仮貯蔵・仮取扱いについて、誤っているものはどれか。」という問いに対して、「第4類危険物でも対象になり得る。」を選ぶのは正しい。,×,正しい。一時的であっても、指定数量以上の危険物を仮に貯蔵・取り扱う場合には承認が必要となる場合がある。,法令・制度,TF-L-069;L-216;LAW-018;仮貯蔵・仮取扱い;仮貯蔵・仮取扱い;標準,消防法：仮貯蔵・仮取扱い,公開前確認待ち
TF-L-070,危険物保安監督者を選任または解任した場合について、「選任や解任をしても、届出制度は一切ない。」は正しい。,×,誤り。危険物保安監督者を選任または解任した場合、法令上、届出が必要となる場合がある。,法令・制度,TF-L-070;L-097;LAW-019;届出;危険物保安監督者選任・解任届出;標準,消防法：危険物保安監督者選任・解任届出,公開前確認待ち
TF-L-071,危険物保安監督者を選任した場合の届出について、「法令上、届出が必要となる場合がある。」は正しい。,○,正しい。危険物保安監督者を選任した場合、法令上、届出が必要となる場合がある。,法令・制度,TF-L-071;L-113;LAW-019;届出;危険物保安監督者選任・解任届出;標準,消防法：危険物保安監督者,公開前確認待ち
TF-L-072,製造所等で貯蔵し、又は取り扱う危険物の品名、数量または指定数量の倍数を変更する場合について、「危険物取扱者免状の写真を変えるだけで足りる。」は正しい。,×,誤り。免状写真の変更ではない、製造所等で貯蔵または取り扱う危険物の品名、数量、指定数量の倍数を変更する場合、届出が必要となる場合がある。,法令・制度,TF-L-072;L-054;LAW-020;届出;品名・数量・指定数量倍数の変更届出;標準,消防法：品名・数量・指定数量倍数の変更届出,公開前確認待ち
TF-L-073,危険物の品名変更に関する説明について、「品名を変えれば指定数量は必ずゼロになる。」は正しい。,×,誤り。指定数量はゼロにならない、製造所等で貯蔵し、又は取り扱う危険物の品名を変更する場合、届出が必要となる場合がある。,法令・制度,TF-L-073;L-114;LAW-020;届出;品名・数量・指定数量倍数の変更届出;標準,消防法：品名・数量・指定数量倍数の変更届出,公開前確認待ち
TF-L-074,製造所等で取り扱う危険物の数量変更について、「法令上、届出が必要となる場合がある。」は正しい。,○,正しい。製造所等で貯蔵し、又は取り扱う危険物の数量を変更する場合、法令上、届出が必要となる場合がある。,法令・制度,TF-L-074;L-138;LAW-020;届出;品名・数量・指定数量倍数の変更届出;標準,消防法：変更届出,公開前確認待ち
TF-L-075,危険物の品名、数量、指定数量倍数を変更する場合の扱いについて、「危険物取扱者免状が自動で失効する。」は正しい。,×,誤り。免状失効とは限らない、製造所等で扱う危険物の品名、数量、指定数量倍数を変更する場合、届出が必要となる場合がある。,法令・制度,TF-L-075;L-217;LAW-020;届出;品名・数量・指定数量倍数の変更届出;標準,消防法：変更届出,公開前確認待ち
