question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_choices,explanation_correct,explanation_summary,explanation_point,explanation_mode
225,single,法令・制度,L-110;LAW-061;総合問題;法令分野の複合・ひっかけ問題;標準;総合,危険物法令の説明として、正しいものはどれか。,,,,,,指定数量は、危険物の重量を必ずkgで表す数値である。,第4類危険物は酸化性固体である。,危険物取扱者免状があれば、施設の設置許可は常に不要である。,製造所等とは、危険物取扱者免状そのものを指す。,施設の許可、取扱者の資格、指定数量はそれぞれ別の論点である。,5,"危険物法令では、施設の許可、取扱者の資格、指定数量などを別々の論点として整理する必要がある。

【試験ポイント】施設許可・資格・指定数量を分けて理解する。

【ひっかけ】免状があれば施設許可不要、という誤解に注意。

【選択肢ア】誤り。指定数量は危険物ごとに政令で定めた数量で、容量で示すものもあり重量限定ではない。

【選択肢イ】誤り。第4類は引火性液体である。

【選択肢ウ】誤り。免状と施設許可は別である。

【選択肢エ】誤り。製造所等は製造所・貯蔵所・取扱所などの施設の総称であり、免状ではない。

【選択肢オ】正しい。各制度は別の論点である。",1:誤り。指定数量は危険物ごとに政令で定めた数量で、容量で示すものもあり重量限定ではない。;2:誤り。第4類は引火性液体である。;3:誤り。免状と施設許可は別である。;4:誤り。製造所等は製造所・貯蔵所・取扱所などの施設の総称であり、免状ではない。,危険物法令では、施設の許可、取扱者の資格、指定数量などを別々の論点として整理する必要がある。 正しい。各制度は別の論点である。,危険物法令では、施設の許可、取扱者の資格、指定数量などを別々の論点として整理する必要がある。,施設許可・資格・指定数量を分けて理解する。 免状があれば施設許可不要、という誤解に注意。,
226,single,物性・化学,PC-058;PC-002;燃焼;燃焼の継続・連鎖反応の考え方;標準;網羅,燃焼の連鎖反応について、正しいものはどれか。,,,,,,指定数量を計算する単位である。,燃焼が継続する過程に関係する反応である。,水に溶ける速さだけを表す反応である。,危険物取扱者免状の交付手続きである。,液体の比重を測る装置である。,2,"燃焼の連鎖反応は、燃焼が継続する過程に関係する考え方である。抑制消火はこの連鎖反応を抑えることに関係する。

【試験ポイント】燃焼の継続には連鎖反応の考え方が関係する。

【ひっかけ】燃焼の三要素だけでなく抑制消火も意識する。

【選択肢ア】誤り。指定数量の単位ではない。

【選択肢イ】正しい。燃焼の継続に関係する。

【選択肢ウ】誤り。溶解速度ではない。

【選択肢エ】誤り。免状手続きではない。

【選択肢オ】誤り。装置ではない。",1:誤り。指定数量の単位ではない。;3:誤り。溶解速度ではない。;4:誤り。免状手続きではない。;5:誤り。装置ではない。,燃焼の連鎖反応は、燃焼が継続する過程に関係する考え方である。抑制消火はこの連鎖反応を抑えることに関係する。 正しい。燃焼の継続に関係する。,燃焼の連鎖反応は、燃焼が継続する過程に関係する考え方である。,燃焼の継続には連鎖反応の考え方が関係する。 燃焼の三要素だけでなく抑制消火も意識する。,
227,single,物性・化学,PC-059;PC-005;燃焼;可燃物・酸素供給源・点火源;標準;重点,点火源として適切なものはどれか。,,,,,,水,氷,窒素,二酸化炭素,火花,5,"火花は点火源となり得る。第4類危険物では、火花や静電気などの着火源に注意が必要である。

【試験ポイント】火花・静電気は点火源になる。

【ひっかけ】点火源と消火剤を混同しない。

【選択肢ア】誤り。水は通常点火源ではない。

【選択肢イ】誤り。氷は点火源ではない。

【選択肢ウ】誤り。窒素は通常点火源ではない。

【選択肢エ】誤り。二酸化炭素は消火に使われることがある。

【選択肢オ】正しい。火花は点火源となる。",1:誤り。水は通常点火源ではない。;2:誤り。氷は点火源ではない。;3:誤り。窒素は通常点火源ではない。;4:誤り。二酸化炭素は消火に使われることがある。,火花は点火源となり得る。第4類危険物では、火花や静電気などの着火源に注意が必要である。 正しい。火花は点火源となる。,火花は点火源となり得る。,火花・静電気は点火源になる。 点火源と消火剤を混同しない。,
228,single,物性・化学,PC-060;PC-009;燃焼;可燃性蒸気と空気の混合;標準;重点,可燃性蒸気と空気の混合について、正しいものはどれか。,,,,,,水に溶けると必ず発火する。,蒸気比重が大きいと指定数量がゼロになる。,濃度に関係なく絶対に燃焼しない。,空気と混ざると必ず不燃性になる。,一定の濃度範囲にあると引火・燃焼の危険がある。,5,"可燃性蒸気と空気の混合気は、燃焼範囲内にあると引火・燃焼の危険がある。

【試験ポイント】可燃性蒸気は空気との混合濃度が重要。

【ひっかけ】濃すぎても薄すぎても燃えにくい。

【選択肢ア】誤り。水溶性と発火は別である。

【選択肢イ】誤り。指定数量はゼロにならない。

【選択肢ウ】誤り。燃焼範囲内では燃焼し得る。

【選択肢エ】誤り。不燃性になるとは限らない。

【選択肢オ】正しい。燃焼範囲内では危険がある。",1:誤り。水溶性と発火は別である。;2:誤り。指定数量はゼロにならない。;3:誤り。燃焼範囲内では燃焼し得る。;4:誤り。不燃性になるとは限らない。,可燃性蒸気と空気の混合気は、燃焼範囲内にあると引火・燃焼の危険がある。 正しい。燃焼範囲内では危険がある。,可燃性蒸気と空気の混合気は、燃焼範囲内にあると引火・燃焼の危険がある。,可燃性蒸気は空気との混合濃度が重要。 濃すぎても薄すぎても燃えにくい。,
229,single,物性・化学,PC-061;PC-016;消火;泡・二酸化炭素・粉末消火剤の基本作用;標準;重点,泡消火剤の主な作用として、正しいものはどれか。,,,,,,危険物を必ず水に溶かす。,燃焼中の液体を激しくかき混ぜる。,酸素を供給して燃焼を促進する。,液面を覆い、可燃性蒸気の発生や空気との接触を抑える。,指定数量を自動的に減らす。,4,"泡消火剤は液面を覆い、可燃性蒸気の発生や空気との接触を抑えることで消火に役立つ。

【試験ポイント】泡は液面を覆う窒息効果が重要。

【ひっかけ】泡を水溶化剤と考えない。

【選択肢ア】誤り。水に溶かすことが目的ではない。

【選択肢イ】誤り。かき混ぜると危険である。

【選択肢ウ】誤り。酸素供給は燃焼を助ける。

【選択肢エ】正しい。泡消火の主な作用である。

【選択肢オ】誤り。指定数量を変えない。",1:誤り。水に溶かすことが目的ではない。;2:誤り。かき混ぜると危険である。;3:誤り。酸素供給は燃焼を助ける。;5:誤り。指定数量を変えない。,泡消火剤は液面を覆い、可燃性蒸気の発生や空気との接触を抑えることで消火に役立つ。 正しい。泡消火の主な作用である。,泡消火剤は液面を覆い、可燃性蒸気の発生や空気との接触を抑えることで消火に役立つ。,泡は液面を覆う窒息効果が重要。 泡を水溶化剤と考えない。,
230,single,物性・化学,PC-062;PC-026;物質の状態;蒸気圧;標準;重点,蒸気圧が高い液体について、一般に正しいものはどれか。,,,,,,絶対に可燃性蒸気を発生しない。,必ず水より重い。,蒸発しやすい傾向がある。,蒸発しにくい傾向がある。,必ず酸素を放出する。,3,"蒸気圧が高い液体は、一般に蒸発しやすい傾向がある。第4類危険物では可燃性蒸気の発生に注意する。

【試験ポイント】蒸気圧が高いほど蒸発しやすい傾向。

【ひっかけ】蒸気圧と比重を混同しない。

【選択肢ア】誤り。可燃性蒸気を発生するものがある。

【選択肢イ】誤り。液比重とは別である。

【選択肢ウ】正しい。蒸発しやすい傾向がある。

【選択肢エ】誤り。逆である。

【選択肢オ】誤り。酸素放出とは別である。",1:誤り。可燃性蒸気を発生するものがある。;2:誤り。液比重とは別である。;4:誤り。逆である。;5:誤り。酸素放出とは別である。,蒸気圧が高い液体は、一般に蒸発しやすい傾向がある。第4類危険物では可燃性蒸気の発生に注意する。 正しい。蒸発しやすい傾向がある。,蒸気圧が高い液体は、一般に蒸発しやすい傾向がある。,蒸気圧が高いほど蒸発しやすい傾向。 蒸気圧と比重を混同しない。,
231,single,物性・化学,PC-063;PC-018;熱;比熱;標準;網羅,比熱が大きい物質について、一般に正しいものはどれか。,,,,,,温度を上げるのに多くの熱量が必要である。,指定数量が必ず50 Lになる。,必ず可燃性蒸気を出す。,必ず水に浮く。,少しの熱で必ず爆発する。,1,"比熱が大きい物質は、同じ質量で同じ温度だけ上げるのに多くの熱量が必要である。

【試験ポイント】比熱が大きいほど温度が上がりにくい。

【ひっかけ】比熱と比重を混同しない。

【選択肢ア】正しい。比熱が大きいほど温度上昇に多くの熱が必要である。

【選択肢イ】誤り。指定数量とは別である。

【選択肢ウ】誤り。蒸気発生とは別である。

【選択肢エ】誤り。比重とは別である。

【選択肢オ】誤り。爆発性とは直接同じ意味ではない。",2:誤り。指定数量とは別である。;3:誤り。蒸気発生とは別である。;4:誤り。比重とは別である。;5:誤り。爆発性とは直接同じ意味ではない。,比熱が大きい物質は、同じ質量で同じ温度だけ上げるのに多くの熱量が必要である。 正しい。比熱が大きいほど温度上昇に多くの熱が必要である。,比熱が大きい物質は、同じ質量で同じ温度だけ上げるのに多くの熱量が必要である。,比熱が大きいほど温度が上がりにくい。 比熱と比重を混同しない。,
232,single,物性・化学,PC-064;PC-029;密度・比重;密度;標準;重点,同じ体積で質量が大きい物質について、密度はどうなるか。,,,,,,必ずゼロになる。,必ず水溶性になる。,必ず発火する。,大きくなる。,必ず小さくなる。,4,"密度は質量を体積で割った値である。同じ体積で質量が大きいほど、密度は大きくなる。

【試験ポイント】密度＝質量÷体積。

【ひっかけ】密度と水溶性を混同しない。

【選択肢ア】誤り。ゼロにはならない。

【選択肢イ】誤り。水溶性とは別である。

【選択肢ウ】誤り。発火とは別である。

【選択肢エ】正しい。密度は大きくなる。

【選択肢オ】誤り。小さくならない。",1:誤り。ゼロにはならない。;2:誤り。水溶性とは別である。;3:誤り。発火とは別である。;5:誤り。小さくならない。,密度は質量を体積で割った値である。同じ体積で質量が大きいほど、密度は大きくなる。 正しい。密度は大きくなる。,密度は質量を体積で割った値である。,密度＝質量÷体積。 密度と水溶性を混同しない。,
233,single,物性・化学,PC-065;PC-032;密度・比重;蒸気比重;標準;重点,蒸気比重が1より大きい蒸気について、一般に正しいものはどれか。,,,,,,必ず第1類危険物である。,必ず不燃性である。,空気より重い。,空気より軽い。,必ず水に溶ける。,3,"蒸気比重が1より大きい蒸気は、空気より重い。低所滞留に注意が必要である。

【試験ポイント】蒸気比重1超は空気より重い。

【ひっかけ】蒸気比重と液比重を混同しない。

【選択肢ア】誤り。第1類とは限らない。

【選択肢イ】誤り。不燃性とは限らない。

【選択肢ウ】正しい。空気より重い。

【選択肢エ】誤り。1より大きければ空気より重い。

【選択肢オ】誤り。水溶性とは別である。",1:誤り。第1類とは限らない。;2:誤り。不燃性とは限らない。;4:誤り。1より大きければ空気より重い。;5:誤り。水溶性とは別である。,蒸気比重が1より大きい蒸気は、空気より重い。低所滞留に注意が必要である。 正しい。空気より重い。,蒸気比重が1より大きい蒸気は、空気より重い。,蒸気比重1超は空気より重い。 蒸気比重と液比重を混同しない。,
234,single,物性・化学,PC-066;PC-052;酸・アルカリ;pH;標準;網羅,pHが7より小さい水溶液について、一般に正しいものはどれか。,,,,,,酸性を示す。,必ず不燃性である。,中性を示す。,必ず第4類危険物である。,アルカリ性を示す。,1,"一般に、pHが7より小さい水溶液は酸性を示す。pH7付近は中性、7より大きいものはアルカリ性である。

【試験ポイント】pH7未満は酸性。

【ひっかけ】pHの大小を逆に覚えない。

【選択肢ア】正しい。pH7未満は酸性である。

【選択肢イ】誤り。pHだけで不燃性とは判断できない。

【選択肢ウ】誤り。pH7付近が中性である。

【選択肢エ】誤り。必ず第4類ではない。

【選択肢オ】誤り。pH7超がアルカリ性である。",2:誤り。pHだけで不燃性とは判断できない。;3:誤り。pH7付近が中性である。;4:誤り。必ず第4類ではない。;5:誤り。pH7超がアルカリ性である。,一般に、pHが7より小さい水溶液は酸性を示す。pH7付近は中性、7より大きいものはアルカリ性である。 正しい。pH7未満は酸性である。,一般に、pHが7より小さい水溶液は酸性を示す。,pH7未満は酸性。 pHの大小を逆に覚えない。,
235,single,物性・化学,PC-067;PC-058;計算問題;密度・質量・体積の計算;難関;重点,密度0.8 g/cm³の液体が500 cm³ある。この液体の質量として、正しいものはどれか。,,,,,,0.0016 g,500 g,625 g,400 g,800 g,4,"質量は密度×体積で求める。0.8 g/cm³×500 cm³＝400 gである。

【試験ポイント】質量＝密度×体積。

【ひっかけ】密度計算の式を入れ替えない。

【選択肢ア】誤り。割り算の向きが不適切である。

【選択肢イ】誤り。体積をそのまま質量にしている。

【選択肢ウ】誤り。500÷0.8の値である。

【選択肢エ】正しい。0.8×500＝400 gである。

【選択肢オ】誤り。計算結果ではない。",1:誤り。割り算の向きが不適切である。;2:誤り。体積をそのまま質量にしている。;3:誤り。500÷0.8の値である。;5:誤り。計算結果ではない。,質量は密度×体積で求める。0.8 g/cm³×500 cm³＝400 gである。 正しい。0.8×500＝400 gである。,質量は密度×体積で求める。,質量＝密度×体積。 密度計算の式を入れ替えない。,
236,single,火災・消火・漏えい,PF-059;PF-001;第4類共通性質;第4類危険物の共通性質;標準;重点,第4類危険物に共通する基本的な性質として、正しいものはどれか。,,,,,,引火性液体である。,可燃性固体である。,自己反応性物質である。,酸化性固体である。,酸化性液体である。,1,"第4類危険物は引火性液体である。

【試験ポイント】第4類＝引火性液体。

【ひっかけ】第1類〜第6類の性状を混同しない。

【選択肢ア】正しい。第4類は引火性液体である。

【選択肢イ】誤り。可燃性固体は第2類である。

【選択肢ウ】誤り。自己反応性物質は第5類である。

【選択肢エ】誤り。酸化性固体は第1類である。

【選択肢オ】誤り。酸化性液体は第6類である。",2:誤り。可燃性固体は第2類である。;3:誤り。自己反応性物質は第5類である。;4:誤り。酸化性固体は第1類である。;5:誤り。酸化性液体は第6類である。,第4類危険物は引火性液体である。 正しい。第4類は引火性液体である。,第4類危険物は引火性液体である。,第4類＝引火性液体。 第1類〜第6類の性状を混同しない。,
237,single,火災・消火・漏えい,PF-060;PF-002;第4類共通性質;引火性液体としての基本性質;標準;重点,引火性液体の危険性として、正しいものはどれか。,,,,,,すべて不燃性である。,発生した可燃性蒸気に引火する危険がある。,必ず水と激しく反応して水素を出す。,必ず酸素を放出して燃焼を助ける。,すべて固体である。,2,"引火性液体では、液体から発生する可燃性蒸気に引火する危険がある。

【試験ポイント】第4類は可燃性蒸気への引火に注意。

【ひっかけ】液体そのものだけでなく蒸気に注目する。

【選択肢ア】誤り。不燃性ではない。

【選択肢イ】正しい。可燃性蒸気への引火が重要である。

【選択肢ウ】誤り。禁水性物質の説明ではない。

【選択肢エ】誤り。酸素放出性ではない。

【選択肢オ】誤り。液体である。",1:誤り。不燃性ではない。;3:誤り。禁水性物質の説明ではない。;4:誤り。酸素放出性ではない。;5:誤り。液体である。,引火性液体では、液体から発生する可燃性蒸気に引火する危険がある。 正しい。可燃性蒸気への引火が重要である。,引火性液体では、液体から発生する可燃性蒸気に引火する危険がある。,第4類は可燃性蒸気への引火に注意。 液体そのものだけでなく蒸気に注目する。,
238,single,火災・消火・漏えい,PF-061;PF-003;第4類共通性質;蒸気が空気より重い性質;標準;重点,第4類危険物の可燃性蒸気について、正しいものはどれか。,,,,,,可燃性蒸気は必ず酸素を放出する。,可燃性蒸気は火災危険と関係しない。,可燃性蒸気は必ず水に溶ける。,すべて空気より軽く天井だけに集まる。,空気より重く低所に滞留しやすいものが多い。,5,"第4類危険物の可燃性蒸気は、空気より重く低所に滞留しやすいものが多い。

【試験ポイント】第4類の蒸気は低所滞留に注意。

【ひっかけ】蒸気比重と水溶性を混同しない。

【選択肢ア】誤り。酸素放出とは別である。

【選択肢イ】誤り。火災危険と関係する。

【選択肢ウ】誤り。水溶性とは別である。

【選択肢エ】誤り。すべて空気より軽いわけではない。

【選択肢オ】正しい。低所滞留に注意する。",1:誤り。酸素放出とは別である。;2:誤り。火災危険と関係する。;3:誤り。水溶性とは別である。;4:誤り。すべて空気より軽いわけではない。,第4類危険物の可燃性蒸気は、空気より重く低所に滞留しやすいものが多い。 正しい。低所滞留に注意する。,第4類危険物の可燃性蒸気は、空気より重く低所に滞留しやすいものが多い。,第4類の蒸気は低所滞留に注意。 蒸気比重と水溶性を混同しない。,
239,single,火災・消火・漏えい,PF-062;PF-004;第4類共通性質;可燃性蒸気と空気の混合危険;標準;重点,可燃性蒸気と空気の混合気について、正しいものはどれか。,,,,,,燃焼範囲内にあると引火・爆発の危険がある。,指定数量をなくす働きがある。,空気と混ざると必ず安全になる。,水に溶けると必ず第6類になる。,濃度に関係なく絶対に燃焼しない。,1,"可燃性蒸気と空気の混合気が燃焼範囲内にあると、引火・爆発の危険がある。

【試験ポイント】可燃性蒸気は空気との混合濃度が重要。

【ひっかけ】空気で薄まれば常に安全、とは限らない。

【選択肢ア】正しい。燃焼範囲内では危険がある。

【選択肢イ】誤り。指定数量をなくさない。

【選択肢ウ】誤り。空気との混合で危険になる場合がある。

【選択肢エ】誤り。分類が変わるわけではない。

【選択肢オ】誤り。燃焼範囲内では燃焼し得る。",2:誤り。指定数量をなくさない。;3:誤り。空気との混合で危険になる場合がある。;4:誤り。分類が変わるわけではない。;5:誤り。燃焼範囲内では燃焼し得る。,可燃性蒸気と空気の混合気が燃焼範囲内にあると、引火・爆発の危険がある。 正しい。燃焼範囲内では危険がある。,可燃性蒸気と空気の混合気が燃焼範囲内にあると、引火・爆発の危険がある。,可燃性蒸気は空気との混合濃度が重要。 空気で薄まれば常に安全、とは限らない。,
240,single,火災・消火・漏えい,PF-063;PF-005;第4類共通性質;水溶性・非水溶性の違い;標準;重点,水溶性の第4類危険物について、正しいものはどれか。,,,,,,水に溶けるものはすべて第1類である。,水に溶けても引火危険があるものがある。,"水に溶けるものは必ず指定数量が10,000 Lである。",水に溶けるものはすべて不燃性である。,水に溶けるものは可燃性蒸気を絶対に出さない。,2,"水溶性の第4類危険物でも、引火危険があるものがある。水に溶けることは不燃性を意味しない。

【試験ポイント】水溶性＝安全ではない。

【ひっかけ】水に溶けるかと燃えるかを混同しない。

【選択肢ア】誤り。第4類の水溶性液体もある。

【選択肢イ】正しい。水溶性でも引火危険がある。

【選択肢ウ】誤り。指定数量は分類により異なる。

【選択肢エ】誤り。不燃性とは限らない。

【選択肢オ】誤り。可燃性蒸気を出すものがある。",1:誤り。第4類の水溶性液体もある。;3:誤り。指定数量は分類により異なる。;4:誤り。不燃性とは限らない。;5:誤り。可燃性蒸気を出すものがある。,水溶性の第4類危険物でも、引火危険があるものがある。水に溶けることは不燃性を意味しない。 正しい。水溶性でも引火危険がある。,水溶性の第4類危険物でも、引火危険があるものがある。,水溶性＝安全ではない。 水に溶けるかと燃えるかを混同しない。,
241,single,火災・消火・漏えい,PF-064;PF-006;第4類共通性質;液比重・蒸気比重;応用;重点,液比重と蒸気比重の説明として、正しいものはどれか。,,,,,,液比重も蒸気比重も必ず水を基準にする。,液比重は水、蒸気比重は空気を基準に考える。,液比重も蒸気比重も必ず空気を基準にする。,蒸気比重は引火点の別名である。,液比重は指定数量の別名である。,2,"液比重は水を基準にした液体の重さ、蒸気比重は空気を基準にした蒸気の重さとして整理する。

【試験ポイント】液比重は水、蒸気比重は空気が基準。

【ひっかけ】液体と蒸気の基準を混同しない。

【選択肢ア】誤り。蒸気比重は空気基準である。

【選択肢イ】正しい。基準が異なる。

【選択肢ウ】誤り。液比重は水基準である。

【選択肢エ】誤り。引火点ではない。

【選択肢オ】誤り。指定数量ではない。",1:誤り。蒸気比重は空気基準である。;3:誤り。液比重は水基準である。;4:誤り。引火点ではない。;5:誤り。指定数量ではない。,液比重は水を基準にした液体の重さ、蒸気比重は空気を基準にした蒸気の重さとして整理する。 正しい。基準が異なる。,液比重は水を基準にした液体の重さ、蒸気比重は空気を基準にした蒸気の重さとして整理する。,液比重は水、蒸気比重は空気が基準。 液体と蒸気の基準を混同しない。,
242,single,火災・消火・漏えい,PF-065;PF-008;火災予防;換気・火気管理;標準;重点,第4類危険物を取り扱う場所で換気が重要な理由として、適切なものはどれか。,,,,,,指定数量を減らすため。,危険物取扱者免状を発行するため。,蒸気比重を必ずゼロにするため。,危険物を不燃性に変えるため。,可燃性蒸気の滞留を防ぐため。,5,"第4類危険物では可燃性蒸気が発生することがあるため、換気により滞留を防ぐことが重要である。

【試験ポイント】換気は可燃性蒸気の滞留防止。

【ひっかけ】換気を消火剤と混同しない。

【選択肢ア】誤り。指定数量は減らない。

【選択肢イ】誤り。免状発行とは関係ない。

【選択肢ウ】誤り。蒸気比重はゼロにならない。

【選択肢エ】誤り。不燃性に変えるものではない。

【選択肢オ】正しい。可燃性蒸気の滞留防止が目的である。",1:誤り。指定数量は減らない。;2:誤り。免状発行とは関係ない。;3:誤り。蒸気比重はゼロにならない。;4:誤り。不燃性に変えるものではない。,第4類危険物では可燃性蒸気が発生することがあるため、換気により滞留を防ぐことが重要である。 正しい。可燃性蒸気の滞留防止が目的である。,第4類危険物では可燃性蒸気が発生することがあるため、換気により滞留を防ぐことが重要である。,換気は可燃性蒸気の滞留防止。 換気を消火剤と混同しない。,
243,single,火災・消火・漏えい,PF-066;PF-013;特殊引火物;特殊引火物の性質;応用;重点,特殊引火物に該当する組合せとして、適切なものはどれか。,,,,,,メタノール・エタノール,重油・潤滑油,大豆油・菜種油,灯油・軽油,ジエチルエーテル・二硫化炭素,5,"ジエチルエーテルと二硫化炭素は特殊引火物の代表例である。

【試験ポイント】特殊引火物の代表例を押さえる。

【ひっかけ】石油類・アルコール類と混同しない。

【選択肢ア】誤り。アルコール類である。

【選択肢イ】誤り。重油は第三石油類、潤滑油は第四石油類である。

【選択肢ウ】誤り。動植物油類である。

【選択肢エ】誤り。灯油・軽油は第二石油類である。

【選択肢オ】正しい。どちらも特殊引火物である。",1:誤り。アルコール類である。;2:誤り。重油は第三石油類、潤滑油は第四石油類である。;3:誤り。動植物油類である。;4:誤り。灯油・軽油は第二石油類である。,ジエチルエーテルと二硫化炭素は特殊引火物の代表例である。 正しい。どちらも特殊引火物である。,ジエチルエーテルと二硫化炭素は特殊引火物の代表例である。,特殊引火物の代表例を押さえる。 石油類・アルコール類と混同しない。,
244,single,火災・消火・漏えい,PF-067;PF-018;第一石油類;ガソリン;標準;重点,ガソリンについて、誤っているものはどれか。,,,,,,火気を避けて取り扱う必要がある。,揮発しやすい。,第一石油類である。,水に完全に溶け、引火危険がない。,可燃性蒸気に引火する危険がある。,4,"ガソリンは水に完全に溶けるわけではなく、引火危険が高い。第一石油類の代表例である。

【試験ポイント】ガソリンは第一石油類で引火危険が高い。

【ひっかけ】『誤っているもの』の問いに注意。

【選択肢ア】正しい。火気厳禁が重要である。

【選択肢イ】正しい。揮発しやすい。

【選択肢ウ】正しい。第一石油類である。

【選択肢エ】誤り。ガソリンは水に溶けにくく、引火危険がある。

【選択肢オ】正しい。可燃性蒸気に引火する危険がある。",1:正しい。火気厳禁が重要である。;2:正しい。揮発しやすい。;3:正しい。第一石油類である。;5:正しい。可燃性蒸気に引火する危険がある。,ガソリンは水に完全に溶けるわけではなく、引火危険が高い。第一石油類の代表例である。 誤り。ガソリンは水に溶けにくく、引火危険がある。,ガソリンは水に完全に溶けるわけではなく、引火危険が高い。,ガソリンは第一石油類で引火危険が高い。 『誤っているもの』の問いに注意。,
245,single,火災・消火・漏えい,PF-068;PF-020;第一石油類;アセトン;応用;重点,アセトンの分類と性質について、正しいものはどれか。,,,,,,水に溶けるため、絶対に燃えない。,第6類危険物である。,水に溶けるが、引火危険がある。,第二石油類の非水溶性液体である。,動植物油類である。,3,"アセトンは第4類危険物の第一石油類に分類される水溶性液体であり、水に溶けるが引火危険がある。

【試験ポイント】アセトンは水溶性でも引火危険がある。

【ひっかけ】水溶性＝不燃性ではない。

【選択肢ア】誤り。水に溶けても引火危険がある。

【選択肢イ】誤り。第6類ではない。

【選択肢ウ】正しい。アセトンの性質である。

【選択肢エ】誤り。第一石油類である。

【選択肢オ】誤り。動植物油類ではない。",1:誤り。水に溶けても引火危険がある。;2:誤り。第6類ではない。;4:誤り。第一石油類である。;5:誤り。動植物油類ではない。,アセトンは第4類危険物の第一石油類に分類される水溶性液体であり、水に溶けるが引火危険がある。 正しい。アセトンの性質である。,アセトンは第4類危険物の第一石油類に分類される水溶性液体であり、水に溶けるが引火危険がある。,アセトンは水溶性でも引火危険がある。 水溶性＝不燃性ではない。,
246,single,火災・消火・漏えい,PF-069;PF-022;アルコール類;アルコール類の性質;応用;重点,アルコール類の代表例として、正しい組合せはどれか。,,,,,,ジエチルエーテル・二硫化炭素,ガソリン・灯油,メタノール・エタノール,大豆油・菜種油,重油・潤滑油,3,"メタノールとエタノールはアルコール類の代表例である。

【試験ポイント】メタノール・エタノールはアルコール類。

【ひっかけ】名前のなじみだけで分類しない。

【選択肢ア】誤り。特殊引火物である。

【選択肢イ】誤り。ガソリンは第一石油類、灯油は第二石油類である。

【選択肢ウ】正しい。メタノール・エタノールはアルコール類である。

【選択肢エ】誤り。動植物油類である。

【選択肢オ】誤り。重油は第三石油類、潤滑油は第四石油類である。",1:誤り。特殊引火物である。;2:誤り。ガソリンは第一石油類、灯油は第二石油類である。;4:誤り。動植物油類である。;5:誤り。重油は第三石油類、潤滑油は第四石油類である。,メタノールとエタノールはアルコール類の代表例である。 正しい。メタノール・エタノールはアルコール類である。,メタノールとエタノールはアルコール類の代表例である。,メタノール・エタノールはアルコール類。 名前のなじみだけで分類しない。,
247,single,火災・消火・漏えい,PF-070;PF-026;第二石油類;第二石油類の性質;標準;重点,第二石油類について、正しいものはどれか。,,,,,,灯油や軽油が代表例である。,メタノールだけが該当する。,ガソリンだけが該当する。,ジエチルエーテルだけが該当する。,動植物油だけが該当する。,1,"第二石油類の代表例には、灯油や軽油がある。

【試験ポイント】灯油・軽油は第二石油類。

【ひっかけ】ガソリンと灯油・軽油を混同しない。

【選択肢ア】正しい。灯油・軽油は第二石油類である。

【選択肢イ】誤り。メタノールはアルコール類である。

【選択肢ウ】誤り。ガソリンは第一石油類である。

【選択肢エ】誤り。ジエチルエーテルは特殊引火物である。

【選択肢オ】誤り。動植物油は動植物油類である。",2:誤り。メタノールはアルコール類である。;3:誤り。ガソリンは第一石油類である。;4:誤り。ジエチルエーテルは特殊引火物である。;5:誤り。動植物油は動植物油類である。,第二石油類の代表例には、灯油や軽油がある。 正しい。灯油・軽油は第二石油類である。,第二石油類の代表例には、灯油や軽油がある。,灯油・軽油は第二石油類。 ガソリンと灯油・軽油を混同しない。,
248,single,火災・消火・漏えい,PF-071;PF-032;第三石油類;クレオソート油・アニリン・エチレングリコール;応用;網羅,アニリンの分類として、正しいものはどれか。,,,,,,動植物油類,第三石油類,アルコール類,第一石油類,特殊引火物,2,"アニリンは第4類危険物の第三石油類に分類される代表的な物質である。

【試験ポイント】アニリンは第三石油類。

【ひっかけ】名前からアルコール類と誤認しない。

【選択肢ア】誤り。動植物油類ではない。

【選択肢イ】正しい。アニリンは第三石油類である。

【選択肢ウ】誤り。アルコール類ではない。

【選択肢エ】誤り。第一石油類ではない。

【選択肢オ】誤り。特殊引火物ではない。",1:誤り。動植物油類ではない。;3:誤り。アルコール類ではない。;4:誤り。第一石油類ではない。;5:誤り。特殊引火物ではない。,アニリンは第4類危険物の第三石油類に分類される代表的な物質である。 正しい。アニリンは第三石油類である。,アニリンは第4類危険物の第三石油類に分類される代表的な物質である。,アニリンは第三石油類。 名前からアルコール類と誤認しない。,
